No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
91,UGC 05028,09h27m50.2003s,+68d24m45.678s,141.959167932263,68.4126884251015,0.0130120004,3900.89958341298,SUN,GPair,"IR,Radio,UV",88,3,48,15,17,6,0,8,21,2
92,UGC 05823,10h41m53.3900s,+00d47m35.400s,160.47245833333,0.79316666667,0.01879655,5635.0639264199,SLS,G,"IR,Radio,Vis",58,1,61,25,23,11,0,8,12,3
93,SN 2016fip HOST,23h46m58.5491s,+29d27m32.058s,356.7439549,29.4589051,0.016918,5071.888804444,SUN,G,"IR,Radio,UV",159,12,97,37,27,6,0,19,13,6
94,MRK 1431,10h23m46.3632s,+60d45m07.225s,155.94318,60.752007,0.021934,6575.647773772,SLS,G,"IR,Radio,UV",37,0,45,15,13,7,0,2,2,0
95,UGC 06315 NED01,11h18m17.0588s,+53d44m59.387s,169.5710787,53.7498299,0.03590516,10764.0961712833,SLS,G,"IR,Radio,UV,Vis",42,1,57,11,8,8,0,2,2,0
96,UGC 07593 NED02,12h28m15.2493s,+44d27m11.440s,187.063539,44.453178,0.023113,6929.103081754,SUN,G,"IR,UV",41,1,9,16,15,4,0,3,2,0
97,NGC 5860,15h06m33.7316s,+42d38m29.810s,226.64054858446,42.64161415251,0.018006,5398.062998748,SUN,GPair,"IR,UV",104,6,35,12,18,5,0,8,5,2
98,AT 2017grk,01h21m59.8153s,-01d02m24.351s,20.4992305,-1.0400975,0.054354,16294.919262132,SUN,QSO,"IR,Radio,UV,Vis,Xray",199,2,104,51,46,12,0,5,3,1
99,IC 1826,02h39m03.5608s,-27d26m34.940s,39.764837,-27.443039,0.004703,1409.923929974,S1L,G,"IR,Radio",91,8,61,25,17,19,7,22,7,5
100,NGC 1036,02h40m29.0010s,+19d17m49.585s,40.1208376,19.297107,0.002642,792.051674036,S1L,G,"IR,Radio,UV",127,7,105,25,26,8,2,18,9,4
101,UGC 04951,09h21m43.6768s,+71d32m39.716s,140.4319867,71.5443657,0.011758,3524.959721164,SUN,G,"IR,Radio,UV",44,3,49,14,12,7,0,2,2,1
102,UGCA 166,09h34m02.0280s,+55d14m27.859s,143.50845,55.241072,0.00250499998,750.980101294151,SUN,GPair,"IR,UV,Vis,Xray",498,12,170,49,41,2,13,14,39,5
103,NGC 5430,14h00m45.7400s,+59d19m42.700s,210.190583333333,59.3285277777778,0.00988016849976926,2962.0,UUN,G,"IR,Radio,UV,Vis",282,9,156,51,53,15,10,37,18,10
104,UGC 09668,14h56m06.9806s,+83d31m22.231s,224.029086,83.522842,0.0129460003,3881.11325120574,SUN,G,"IR,Radio,UV",71,1,44,18,13,6,0,5,3,0
105,IC 4854,19h27m21.2375s,-59d18m55.095s,291.8384899,-59.3153042,0.013676,4099.961655608,SLS,G,"IR,Radio",33,0,41,11,4,17,0,4,4,1
106,ESO 247- G 002,02h37m38.6125s,-42d28m03.533s,39.41088580358,-42.46764822282,,,,GPair,,3,0,1,3,0,1,0,5,1,0
107,MRK 0147,10h35m49.5396s,+63d32m13.592s,158.956415,63.537109,0.023524,7052.317781992,SLS,G,"IR,UV,Vis",30,0,53,8,10,10,0,2,2,1
