G,HST,CNOC2,RAJ2000,DEJ2000,z,Rcmag,RcMag,B/T,Asym,(B-Rc)0,EW([OII])
GinP,49A,1447-110843,14 49 26.91,+08 52 11.1,0.27002,19.1,-20.7,0.05,0.12,0.98,
GinP,49B,1447-110838,14 49 27.10,+08 52 10.2,0.26929,20.8,-19.0,0.0,0.14,1.15,-16.4
GinP,51A,1447-051065,14 49 55.08,+09 38 44.9,0.34895,19.2,-21.5,0.86,0.05,1.75,-11.3
GinP,51B,1447-051056,14 49 54.98,+09 38 43.7,0.34957,20.0,-20.6,0.77,0.16,1.26,-14.7
GinP,52A,1447-082155,14 50 05.66,+09 11 52.5,0.36381,19.3,-21.1,0.06,0.14,0.82,-15.7
GinP,52B,1447-082172,14 50 05.87,+09 11 56.3,0.36459,20.1,-20.6,0.23,0.09,1.15,-5.3
GinP,60A,1447-040704,14 49 38.98,+09 29 31.0,0.51035,20.9,-20.6,0.6,0.04,0.68,4.0
GinP,60B,1447-040709,14 49 38.74,+09 29 31.0,0.51013,21.3,-20.4,0.09,0.07,1.24,-18.0
GinP,65A,2148-042181,21 51 24.69,-05 07 10.2,0.14719,18.8,-19.7,0.56,0.05,1.34,
GinP,65B,2148-042170,21 51 24.76,-05 07 12.4,0.1477,19.3,-19.1,0.08,0.13,1.12,
GinP,67A,2148-031553,21 51 12.48,-05 17 42.8,0.19758,19.1,-19.9,0.69,0.18,0.77,
GinP,67B,2148-031529,21 51 12.88,-05 17 48.6,0.19777,20.2,-18.7,0.04,0.06,0.91,
GinP,68A,2148-071349,21 51 22.15,-04 45 14.3,0.40806,19.5,-21.6,0.27,0.08,1.58,-3.5
GinP,68B,2148-071332,21 51 22.09,-04 45 18.9,0.40873,21.1,-19.7,0.01,0.07,0.97,-38.1
GinP,70A,2148-051930,21 51 26.12,-04 58 16.6,0.29727,20.0,-19.9,0.1,0.09,0.88,-30.5
GinP,70B,2148-051898,21 51 25.97,-04 58 23.3,0.29709,21.1,-18.9,0.61,0.06,1.15,-36.7
GinP,72A,2148-162261,21 50 16.57,-05 45 45.8,0.506,20.8,-20.4,0.19,0.12,0.56,-40.0
GinP,72B,2148-162264,21 50 16.46,-05 45 44.4,0.50663,21.2,-20.0,0.23,0.14,0.81,-31.2
