110.01162092296029, 3.600266443829912e-7
128.62242722337655, 3.327270150564081e-7
150.3816473754, 3.0749742630319994e-7
175.82190256808514, 2.8443281496886683e-7
205.56591819673207, 2.630982223289963e-7
240.34176690643963, 2.4314835456747657e-7
281.0006903207932, 2.249104058402188e-7
328.5379356951322, 2.078561938619583e-7
384.11711753304473, 1.922654216642985e-7
449.09870048861154, 1.7784407421748714e-7
525.0733007575709, 1.6435874645129556e-7
613.9006211073231, 1.520306087758945e-7
717.7549725956492, 1.398402611612348e-7
873.2375820688274, 1.2581140312873145e-7
999.231905429016, 1.1917027034866813e-7
1163.5401159928774, 1.1041313838839267e-7
1360.3776822411887, 1.020408753967086e-7
1590.5145107615997, 9.438704505563915e-8
1859.5838802467968, 8.730730934735411e-8
2174.172058334686, 8.075860687217454e-8
2541.9795199643977, 7.470110615809612e-8
2972.009439247305, 6.909796339200879e-8
3474.7880687484035, 6.391509832289039e-8
4062.6224006119487, 5.9120986973940174e-8
4749.901416548536, 5.4686469902855626e-8
5553.448300666913, 5.058457484402551e-8
6492.932236600057, 4.679035265388748e-8
7591.349868876504, 4.328072556161329e-8
8875.588213726347, 4.00343468021298e-8
10377.0827982266, 3.703147077771536e-8
12132.5871376856, 3.425383295844938e-8
14185.072386498627, 3.165647813105062e-8
16584.779184086707, 2.9282005040057785e-8
19390.447442955094, 2.7085635225004457e-8
22670.75418156728, 2.5054009605503296e-8
26505.994597240904, 2.3174771132307758e-8
30990.047528290645, 2.14364896274676e-8
36232.67341591025, 1.98285922620357e-8
42362.20101519868, 1.8341299248467935e-8
49528.66862051892, 1.696556435657493e-8
57907.49669595904, 1.5679121740516552e-8
67703.78180937626, 1.450307011186933e-8
79157.31697674112, 1.3415231168609309e-8
92548.4613045428, 1.24089882982735e-8
108205.0026070894, 1.147822118391802e-8
126510.18098153391, 1.060786564624241e-8
151456.5920463483, 9.692666158234229e-9
172934.54333416192, 9.076207979312671e-9
202190.1007165669, 8.545520370212925e-9
236394.85807518061, 7.758827110450088e-9
271199.2661292757, 7.153579058205471e-9
323142.66338566504, 6.679839910908613e-9
377809.1201219281, 6.140598715622345e-9
441723.57110564644, 5.680007794785553e-9
516450.51132528204, 5.249311595520956e-9
603819.1033829944, 4.855573887927535e-9
705967.951652591, 4.491369459043116e-9
825397.4509389319, 4.154483091644452e-9
965030.9910268397, 3.8428657264006995e-9
1128286.515281648, 3.551473932156232e-9
1319160.1849095447, 3.285086772777438e-9
1542324.1968075705, 3.0386806466365317e-9
1803241.1493841708, 2.8082675464139023e-9
2108297.7557915063, 2.5976264354961427e-9
2464961.177595963, 2.4027849864251776e-9
2881961.8056151634, 2.222558106161071e-9
3369506.962022427, 2.055849592522877e-9
3939530.7547090044, 1.901645466708072e-9
4605986.199827524, 1.7574499823969668e-9
5385186.763079022, 1.6256280635248775e-9
6296205.679975203, 1.503693776431315e-9
7361342.829619204, 1.3896736522051867e-9
8606670.590119539, 1.2854377141844515e-9
9506712.481077563, 1.2257459841190843e-9
